LOCATION_CODE,MAT_CODE,PRODUCT_SUBTYPE,TRADE_PRODUCT_BRAND,TRADE_PRODUCT_MODEL,COLOR,PRODUCT_NAME,REQ_DATE,LUNCH_DATE,START_DATE,END_DATE,sum_lambda,SALE_AMT
1106,NEW0RUS5506-DG01S3,HANDSET BUNDLE,RUIO,S5506,DARK GOLD,S5506 +SIM MARATHON,2020-01-02,2019-09-30,2020-01-03,2020-01-12,1.6654,3
1106,NEW0RUS5506-DG01X3,HANDSET BUNDLE,RUIO,S5506,DARK GOLD,S5506 +SIM MARATHON,2019-12-19,2019-09-30,2019-12-20,2019-12-29,1.3824,2
1106,NEW0RZPHON2-MB01,HANDSET,RAZER,PHONE2,MIRROR BLACK,PHONE 2,2019-12-02,2018-12-04,2019-12-03,2019-12-09,0.3644,2
1106,NEW0RZPHON2-MB01,HANDSET,RAZER,PHONE2,MIRROR BLACK,PHONE 2,2019-12-05,2018-12-04,2019-12-06,2019-12-15,0.6331,2
1106,NEW0RZPHON2-MB01,HANDSET,RAZER,PHONE2,MIRROR BLACK,PHONE 2,2019-12-09,2018-12-04,2019-12-10,2019-12-16,0.4016,2
1106,NEW0RZPHON2-MB01,HANDSET,RAZER,PHONE2,MIRROR BLACK,PHONE 2,2019-12-12,2018-12-04,2019-12-13,2019-12-22,0.5706,3
1106,NEW0RZPHON2-MB01,HANDSET,RAZER,PHONE2,MIRROR BLACK,PHONE 2,2019-12-16,2018-12-04,2019-12-17,2019-12-23,0.39790000000000003,1
1106,NEW0RZPHON2-MB01,HANDSET,RAZER,PHONE2,MIRROR BLACK,PHONE 2,2019-12-19,2018-12-04,2019-12-20,2019-12-29,0.5657,1
1106,NEW0RZPHON2-MB01,HANDSET,RAZER,PHONE2,MIRROR BLACK,PHONE 2,2019-12-23,2018-12-04,2019-12-24,2019-12-30,0.3947,0
1106,NEW0RZPHON2-MB01,HANDSET,RAZER,PHONE2,MIRROR BLACK,PHONE 2,2019-12-26,2018-12-04,2019-12-27,2020-01-05,0.056,0
1106,NEW0RZPHON2-MB01,HANDSET,RAZER,PHONE2,MIRROR BLACK,PHONE 2,2020-01-02,2018-12-04,2020-01-03,2020-01-12,0.5563,0
1106,NEW0RZPHON2-MB01,HANDSET,RAZER,PHONE2,MIRROR BLACK,PHONE 2,2020-01-06,2018-12-04,2020-01-07,2020-01-13,0.3493,0
1106,NEW0RZPHON2-MB01,HANDSET,RAZER,PHONE2,MIRROR BLACK,PHONE 2,2020-01-20,2018-12-04,2020-01-21,2020-01-27,0.038,0
1106,NEW0SSA107L-BK01,HANDSET,SAMSUNG,A107L,BLACK,A107L GALAXY A10S SLG,2019-12-09,2019-09-17,2019-12-10,2019-12-16,3.0601000000000003,8
1106,NEW0SSA107L-BK01,HANDSET,SAMSUNG,A107L,BLACK,A107L GALAXY A10S SLG,2019-12-12,2019-09-17,2019-12-13,2019-12-22,4.311,8
1106,NEW0SSA107L-BK01,HANDSET,SAMSUNG,A107L,BLACK,A107L GALAXY A10S SLG,2019-12-16,2019-09-17,2019-12-17,2019-12-23,2.9895,5
1106,NEW0SSA107L-BK01,HANDSET,SAMSUNG,A107L,BLACK,A107L GALAXY A10S SLG,2019-12-19,2019-09-17,2019-12-20,2019-12-29,4.2118,8
1106,NEW0SSA107L-BK01,HANDSET,SAMSUNG,A107L,BLACK,A107L GALAXY A10S SLG,2019-12-23,2019-09-17,2019-12-24,2019-12-30,2.9208,4
1106,NEW0SSA107L-BK01,HANDSET,SAMSUNG,A107L,BLACK,A107L GALAXY A10S SLG,2019-12-26,2019-09-17,2019-12-27,2020-01-05,4.1147,5
1106,NEW0SSA107L-BK01,HANDSET,SAMSUNG,A107L,BLACK,A107L GALAXY A10S SLG,2019-12-30,2019-09-17,2019-12-31,2020-01-06,2.8533000000000004,2
1106,NEW0SSA107L-BK01,HANDSET,SAMSUNG,A107L,BLACK,A107L GALAXY A10S SLG,2020-01-02,2019-09-17,2020-01-03,2020-01-12,4.0199,2
1106,NEW0SSA107L-BK01,HANDSET,SAMSUNG,A107L,BLACK,A107L GALAXY A10S SLG,2020-01-06,2019-09-17,2020-01-07,2020-01-13,2.7877,1
1106,NEW0SSA107L-BK01,HANDSET,SAMSUNG,A107L,BLACK,A107L GALAXY A10S SLG,2020-01-09,2019-09-17,2020-01-10,2020-01-19,3.9272,3
1106,NEW0SSA107L-BK01,HANDSET,SAMSUNG,A107L,BLACK,A107L GALAXY A10S SLG,2020-01-13,2019-09-17,2020-01-14,2020-01-20,2.7234,2
1106,NEW0SSA107L-BK01,HANDSET,SAMSUNG,A107L,BLACK,A107L GALAXY A10S SLG,2020-01-16,2019-09-17,2020-01-17,2020-01-26,3.8367999999999998,6
1106,NEW0SSA107L-BK01,HANDSET,SAMSUNG,A107L,BLACK,A107L GALAXY A10S SLG,2020-01-20,2019-09-17,2020-01-21,2020-01-27,2.3333,5
1106,NEW0SSA107L-GN01,HANDSET,SAMSUNG,A107L,GREEN,A107L GALAXY A10S SLG,2019-12-09,2019-09-17,2019-12-10,2019-12-16,2.5199000000000003,8
1106,NEW0SSA107L-GN01,HANDSET,SAMSUNG,A107L,GREEN,A107L GALAXY A10S SLG,2019-12-12,2019-09-17,2019-12-13,2019-12-22,3.1134,5
1106,NEW0SSA107L-GN01,HANDSET,SAMSUNG,A107L,GREEN,A107L GALAXY A10S SLG,2019-12-16,2019-09-17,2019-12-17,2019-12-23,2.462,1
1106,NEW0SSA107L-GN01,HANDSET,SAMSUNG,A107L,GREEN,A107L GALAXY A10S SLG,2019-12-19,2019-09-17,2019-12-20,2019-12-29,3.4682999999999997,4
1106,NEW0SSA107L-GN01,HANDSET,SAMSUNG,A107L,GREEN,A107L GALAXY A10S SLG,2019-12-23,2019-09-17,2019-12-24,2019-12-30,2.405,4
1106,NEW0SSA107L-GN01,HANDSET,SAMSUNG,A107L,GREEN,A107L GALAXY A10S SLG,2019-12-26,2019-09-17,2019-12-27,2020-01-05,2.9715,8
1106,NEW0SSA107L-GN01,HANDSET,SAMSUNG,A107L,GREEN,A107L GALAXY A10S SLG,2019-12-30,2019-09-17,2019-12-31,2020-01-06,2.3498,5
1106,NEW0SSA107L-GN01,HANDSET,SAMSUNG,A107L,GREEN,A107L GALAXY A10S SLG,2020-01-02,2019-09-17,2020-01-03,2020-01-12,3.3106,1
1106,NEW0SSA107L-GN01,HANDSET,SAMSUNG,A107L,GREEN,A107L GALAXY A10S SLG,2020-01-06,2019-09-17,2020-01-07,2020-01-13,2.2958,0
1106,NEW0SSA107L-GN01,HANDSET,SAMSUNG,A107L,GREEN,A107L GALAXY A10S SLG,2020-01-09,2019-09-17,2020-01-10,2020-01-19,3.2341,1
1106,NEW0SSA107L-GN01,HANDSET,SAMSUNG,A107L,GREEN,A107L GALAXY A10S SLG,2020-01-13,2019-09-17,2020-01-14,2020-01-20,1.9668,1
1106,NEW0SSA107L-GN01,HANDSET,SAMSUNG,A107L,GREEN,A107L GALAXY A10S SLG,2020-01-16,2019-09-17,2020-01-17,2020-01-26,2.771,3
1106,NEW0SSA107L-GN01,HANDSET,SAMSUNG,A107L,GREEN,A107L GALAXY A10S SLG,2020-01-20,2019-09-17,2020-01-21,2020-01-27,1.9216,2
1106,NEW0SSA107L-RD01,HANDSET,SAMSUNG,A107L,RED,A107L GALAXY A10S SLG,2019-12-09,2019-09-17,2019-12-10,2019-12-16,1.6647,3
1106,NEW0SSA107L-RD01,HANDSET,SAMSUNG,A107L,RED,A107L GALAXY A10S SLG,2019-12-12,2019-09-17,2019-12-13,2019-12-22,2.6742,1
1106,NEW0SSA107L-RD01,HANDSET,SAMSUNG,A107L,RED,A107L GALAXY A10S SLG,2019-12-16,2019-09-17,2019-12-17,2019-12-23,1.8545,0
1106,NEW0SSA107L-RD01,HANDSET,SAMSUNG,A107L,RED,A107L GALAXY A10S SLG,2019-12-19,2019-09-17,2019-12-20,2019-12-29,2.2912,0
1106,NEW0SSA107L-RD01,HANDSET,SAMSUNG,A107L,RED,A107L GALAXY A10S SLG,2019-12-23,2019-09-17,2019-12-24,2019-12-30,1.5888,1
